Dataset,Model,Metric,Value,FileName
 ,lmnn,,lmnn,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
 ,fantope,,fantope,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
 ,cap,,cap,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
 ,rml,,rml,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
 ,proposed,,proposed,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,knn,,56.73 ± 1.12,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,itml,,62.04 ± 2.19,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,lmnn,,61.65 ± 1.63,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,fantope,,61.69 ± 1.60,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,cap,,61.80 ± 1.72,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,rml,,55.86 ± 1.54,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
original,proposed,,63.99 ± 1.60,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,knn,,48.46 ± 1.35,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,itml,,52.52 ± 0.80,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,lmnn,,51.35 ± 1.55,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,fantope,,51.39 ± 1.69,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,cap,,51.39 ± 1.99,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,rml,,48.23 ± 1.26,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
sparse,proposed,,54.59 ± 1.45,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,knn,,35.30 ± 1.14,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,itml,,40.60 ± 1.42,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,lmnn,,37.48 ± 1.64,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,fantope,,37.71 ± 1.56,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,cap,,38.05 ± 1.57,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,rml,,35.80 ± 1.59,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
regular,proposed,,44.77 ± 1.09,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
irregular,knn,,40.94 ± 2.30,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
irregular,itml,,44.27 ± 1.73,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
irregular,lmnn,,41.73 ± 3.39,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
irregular,fantope,,41.88 ± 2.78,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
irregular,cap,,42.33 ± 2.35,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
irregular,rml,,40.23 ± 2.48,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
irregular,proposed,,46.09 ± 2.43,test-fdfc1830-e2ad-11e9-b58b-acde48001122.csv
